X,Y,id,name
23.9659292,37.8137148,32048802,Ge?????? G????
23.9655107,37.8136127,32048802,Ge?????? G????
23.9651567,37.8135007,32048802,Ge?????? G????
23.9647809,37.8133956,32048802,Ge?????? G????
23.9646506,37.8133648,32048802,Ge?????? G????
23.9645141,37.8133467,32048802,Ge?????? G????
23.9643927,37.8133432,32048802,Ge?????? G????
23.9640985,37.8133621,32048802,Ge?????? G????
23.9636439,37.8133923,32048802,Ge?????? G????
23.9633909,37.8134077,32048802,Ge?????? G????
23.963086,37.8134262,32048802,Ge?????? G????
23.9627728,37.8134489,32048802,Ge?????? G????
23.9626709,37.8134656,32048802,Ge?????? G????
23.9624423,37.8135618,32048802,Ge?????? G????
23.962099,37.8137144,32048802,Ge?????? G????
23.96182,37.8137653,32048802,Ge?????? G????
23.9614767,37.8138161,32048802,Ge?????? G????
23.9612627,37.8138368,32048802,Ge?????? G????
23.9610956,37.8138288,32048802,Ge?????? G????
23.9608952,37.8138283,32048802,Ge?????? G????
23.9606439,37.8138597,32048802,Ge?????? G????
23.9604516,37.8138709,32048802,Ge?????? G????
23.9601123,37.813875,32048802,Ge?????? G????
23.9598717,37.8139218,32048802,Ge?????? G????
23.9595455,37.8140365,32048802,Ge?????? G????
23.9592607,37.8142354,32048802,Ge?????? G????
23.9590571,37.8143853,32048802,Ge?????? G????
23.9590091,37.8144264,32048802,Ge?????? G????
23.9584726,37.8147823,32048802,Ge?????? G????
23.9578503,37.8151722,32048802,Ge?????? G????
23.9571852,37.8156299,32048802,Ge?????? G????
23.9567775,37.8158842,32048802,Ge?????? G????
23.9565843,37.815952,32048802,Ge?????? G????
23.9564584,37.8160072,32048802,Ge?????? G????
23.9563912,37.8160367,32048802,Ge?????? G????
23.9560264,37.8161893,32048802,Ge?????? G????
23.9557689,37.8163419,32048802,Ge?????? G????
23.9554985,37.816471,32048802,Ge?????? G????
23.9551795,37.8165709,32048802,Ge?????? G????
23.955081,37.8166018,32048802,Ge?????? G????
23.9547985,37.8166365,32048802,Ge?????? G????
23.9546488,37.8166536,32048802,Ge?????? G????
23.9545157,37.8166688,32048802,Ge?????? G????
23.9542228,37.8166876,32048802,Ge?????? G????
23.9538753,37.8166876,32048802,Ge?????? G????
23.9534515,37.8166639,32048802,Ge?????? G????
23.9531072,37.8166607,32048802,Ge?????? G????
23.9528292,37.8166809,32048802,Ge?????? G????
23.9525366,37.8167226,32048802,Ge?????? G????
23.9521415,37.8167522,32048802,Ge?????? G????
23.9517823,37.8167411,32048802,Ge?????? G????
23.9512886,37.816733,32048802,Ge?????? G????
23.9508704,37.8167031,32048802,Ge?????? G????
23.9507207,37.8167113,32048802,Ge?????? G????
23.950595,37.8167639,32048802,Ge?????? G????
23.9503903,37.8168957,32048802,Ge?????? G????
23.9501108,37.8170883,32048802,Ge?????? G????
23.9497686,37.8173135,32048802,Ge?????? G????
23.9496032,37.8173949,32048802,Ge?????? G????
23.9493404,37.8175439,32048802,Ge?????? G????
23.9491338,37.817665,32048802,Ge?????? G????
23.9489604,37.8177983,32048802,Ge?????? G????
23.9487324,37.818043,32048802,Ge?????? G????
23.9485611,37.8182418,32048802,Ge?????? G????
23.9482758,37.8185425,32048802,Ge?????? G????
23.9479584,37.8188336,32048802,Ge?????? G????
